province,noproj
An Giang,5
Bac Giang,13
Bac Kan,1
Bac Lieu,1
Bac Ninh,37
Ben Tre,9
Binh Dinh,6
Binh Duong,123
Binh Phuoc,13
Binh Thuan,12
BRVT,39
Ca Mau,1
Can Tho,6
Cao Bang,0
Da Nang,16
Dak Lak,1
Dak Nong,1
Dien Bien,0
Dong Nai,47
Dong Thap,0
Gia Lai,0
Ha Giang,0
Ha Nam,7
Ha Noi,293
Ha Tinh,16
Hai Duong,14
Hai Phong,20
Hau Giang,2
HCMC,337
Hoa Binh,1
Hung Yen,24
Khanh Hoa,5
Kien Giang,7
Kon Tum,0
Lai Chau,1
Lam Dong,7
Lang Son,4
Lao Cai,0
Long An,38
Nam Dinh,5
Nghe An,10
Ninh Binh,3
Ninh Thuan,1
Phu Tho,8
Phu Yen,1
Quang Binh,0
Quang Nam,8
Quang Ngai,4
Quang Ninh,5
Quang Tri,0
Soc Trang,3
Son La,0
Tay Ninh,17
Thai Binh,3
Thai Nguyen,4
Thanh Hoa,10
Tien Giang,15
Tra Vinh,7
TT-Hue,11
Tuyen Quang,1
Vinh Long,4
Vinh Phuc,10
Yen Bai,0
