year,province,c1
2006,An Giang,22.45
2006,Bac Giang,19.25
2006,Bac Kan,17.02
2006,Bac Lieu,25.2
2006,Bac Ninh,22.3
2006,Ben Tre,16.34
2006,Binh Dinh,18.24
2006,Binh Duong,16.33
2006,Binh Phuoc,28.88
2006,Binh Thuan,25.09
2006,BRVT,20.92
2006,Ca Mau,58.44
2006,Can Tho,15.43
2006,Cao Bang,14.85
2006,Da Nang,13.57
2006,Dak lak,26.2
2006,Dak nong,20.59
2006,Dien Bien,12.61
2006,Dong Nai,25.95
2006,Dong Thap,11.71
2006,Gia Lai,16.57
2006,Ha Giang,18.41
2006,Ha Nam,24.66
2006,Ha Noi,26.68
2006,Ha Tinh,20.89
2006,Hai Duong,21.86
2006,Hai Phong,17.05
2006,Hau Giang,15.62
2006,HCMC,20.21
2006,Hoa Binh,19.46
2006,Hung Yen,22.8
2006,Khanh Hoa,18.55
2006,Kien Giang,12.5
2006,Kon Tum,12.47
2006,Lai Chau,20.48
2006,Lam Dong,24.26
2006,Lang Son,20.72
2006,Lao Cai,41.08
2006,Long An,14.44
2006,Nam Dinh,42.1
2006,Nghe An,14.07
2006,Ninh Binh,15.99
2006,Ninh Thuan,22.81
2006,Phu Tho,15.84
2006,Phu Yen,14.64
2006,Quang Binh,21.61
2006,Quang Nam,18.5
2006,Quang Ngai,20.47
2006,Quang Ninh,19.66
2006,Quang Tri,15.27
2006,Soc Trang,15.61
2006,Son La,21.76
2006,Tay Ninh,25.91
2006,Thai Binh,28.08
2006,Thai Nguyen,17
2006,Thanh Hoa,19.01
2006,Tien Giang,43.59
2006,Tra Vinh,22.16
2006,TT-Hue,14.2
2006,Tuyen Quang,20.86
2006,Vinh Long,15.7
2006,Vinh Phuc,27
2006,Yen Bai,37.11
2007,An Giang,15
2007,Bac Giang,15
2007,Bac Kan,15
2007,Bac Lieu,22.5
2007,Bac Ninh,20
2007,Ben Tre,7
2007,Binh Dinh,7
2007,Binh Duong,15
2007,Binh Phuoc,15
2007,Binh Thuan,15
2007,BRVT,15
2007,Ca Mau,15
2007,Can Tho,10
2007,Cao Bang,10
2007,Da Nang,7
2007,Dak Lak,15
2007,Dak Nong,15
2007,Dien Bien,15
2007,Dong Nai,14
2007,Dong Thap,14
2007,Gia Lai,10
2007,Ha Giang,10
2007,Ha Nam,22.5
2007,Ha Noi,20
2007,Ha Tinh,12.5
2007,Hai Duong,15
2007,Hai Phong,14.5
2007,Hau Giang,20
2007,HCMC,15
2007,Hoa Binh,15
2007,Hung Yen,15
2007,Khanh Hoa,15
2007,Kien Giang,15
2007,Kon Tum,8.5
2007,Lai Chau,15
2007,Lam Dong,15
2007,Lang Son,15
2007,Lao Cai,10
2007,Long An,10
2007,Nam Dinh,15
2007,Nghe An,15
2007,Ninh Binh,7
2007,Ninh Thuan,15
2007,Phu Tho,15
2007,Phu Yen,15
2007,Quang Binh,15
2007,Quang Nam,8.5
2007,Quang Ngai,15
2007,Quang Ninh,10
2007,Quang Tri,7
2007,Soc Trang,7
2007,Son La,15
2007,Tay Ninh,15
2007,Thai Binh,15
2007,Thai Nguyen,10
2007,Thanh Hoa,10
2007,Tien Giang,10
2007,Tra Vinh,10
2007,TT-Hue,8.5
2007,Tuyen Quang,7
2007,Vinh Long,15
2007,Vinh Phuc,15
2007,Yen Bai,20
2008,An Giang,12
2008,Bac Giang,10
2008,Bac Kan,15
2008,Bac Lieu,7
2008,Bac Ninh,15
2008,Ben Tre,14.5
2008,Binh Dinh,7
2008,Binh Duong,12
2008,Binh Phuoc,17.5
2008,Binh Thuan,15
2008,BRVT,14
2008,Ca Mau,10
2008,Can Tho,9.25
2008,Cao Bang,15
2008,Da Nang,10
2008,Dak Lak,15
2008,Dak Nong,15
2008,Dien Bien,15
2008,Dong Nai,15
2008,Dong Thap,10
2008,Gia Lai,10
2008,Ha Giang,15
2008,Ha Nam,14
2008,Ha Noi,15
2008,Ha Tinh,15
2008,Hai Duong,15
2008,Hai Phong,15
2008,Hau Giang,7
2008,HCMC,15
2008,Hoa Binh,15
2008,Hung Yen,15
2008,Khanh Hoa,8.5
2008,Kien Giang,10
2008,Kon Tum,7
2008,Lai Chau,7
2008,Lam Dong,15
2008,Lang Son,12.5
2008,Lao Cai,15
2008,Long An,7
2008,Nam Dinh,10
2008,Nghe An,9
2008,Ninh Binh,10
2008,Ninh Thuan,15
2008,Phu Tho,12.5
2008,Phu Yen,7
2008,Quang Binh,7
2008,Quang Nam,10
2008,Quang Ngai,15
2008,Quang Ninh,10
2008,Quang Tri,10
2008,Soc Trang,7
2008,Son La,15
2008,Tay Ninh,12
2008,Thai Binh,15
2008,Thai Nguyen,10
2008,Thanh Hoa,15
2008,Tien Giang,5
2008,Tra Vinh,7
2008,TT-Hue,12
2008,Tuyen Quang,15
2008,Vinh Long,10
2008,Vinh Phuc,15
2008,Yen Bai,10
2009,An Giang,7
2009,Bac Giang,11
2009,Bac Kan,15
2009,Bac Lieu,10
2009,Bac Ninh,10
2009,Ben Tre,15
2009,Binh Dinh,7
2009,Binh Duong,14
2009,Binh Phuoc,10
2009,Binh Thuan,10
2009,BRVT,9.5
2009,Ca Mau,7
2009,Can Tho,12
2009,Cao Bang,14.5
2009,Da Nang,7
2009,Dak Lak,10
2009,Dak Nong,15
2009,Dien Bien,8
2009,Dong Nai,15
2009,Dong Thap,9
2009,Gia Lai,14.5
2009,Ha Giang,10
2009,Ha Nam,15
2009,Ha Noi,15
2009,Ha Tinh,15
2009,Hai Duong,10
2009,Hai Phong,15
2009,Hau Giang,7
2009,HCMC,15
2009,Hoa Binh,15
2009,Hung Yen,15
2009,Khanh Hoa,7.75
2009,Kien Giang,10
2009,Kon Tum,7
2009,Lai Chau,7
2009,Lam Dong,15
2009,Lang Son,9
2009,Lao Cai,7
2009,Long An,7
2009,Nam Dinh,10
2009,Nghe An,8
2009,Ninh Binh,15
2009,Ninh Thuan,14
2009,Phu Tho,10
2009,Phu Yen,10
2009,Quang Binh,7
2009,Quang Nam,10
2009,Quang Ngai,15
2009,Quang Ninh,14
2009,Quang Tri,10
2009,Soc Trang,6.5
2009,Son La,10
2009,Tay Ninh,10
2009,Thai Binh,15
2009,Thai Nguyen,12.5
2009,Thanh Hoa,10
2009,Tien Giang,7
2009,Tra Vinh,13
2009,TT-Hue,7
2009,Tuyen Quang,15
2009,Vinh Long,7
2009,Vinh Phuc,14
2009,Yen Bai,10
2010,An Giang,14
2010,Bac Giang,10
2010,Bac Kan,10
2010,Bac Lieu,10
2010,Bac Ninh,10
2010,Ben Tre,8.5
2010,Binh Dinh,7
2010,Binh Duong,15
2010,Binh Phuoc,15
2010,Binh Thuan,10
2010,BRVT,15
2010,Ca Mau,10
2010,Can Tho,10
2010,Cao Bang,8.5
2010,Da Nang,10
2010,Dak Lak,10
2010,Dak Nong,8
2010,Dien Bien,10
2010,Dong Nai,15
2010,Dong Thap,7
2010,Gia Lai,10
2010,Ha Giang,10
2010,Ha Nam,15
2010,Ha Noi,15
2010,Ha Tinh,12
2010,Hai Duong,10
2010,Hai Phong,14
2010,Hau Giang,10
2010,HCMC,15
2010,Hoa Binh,15
2010,Hung Yen,15
2010,Khanh Hoa,10
2010,Kien Giang,8.5
2010,Kon Tum,7
2010,Lai Chau,7
2010,Lam Dong,14
2010,Lang Son,10
2010,Lao Cai,7
2010,Long An,10
2010,Nam Dinh,10
2010,Nghe An,10
2010,Ninh Binh,11
2010,Ninh Thuan,15
2010,Phu Tho,10
2010,Phu Yen,7
2010,Quang Binh,10
2010,Quang Nam,7
2010,Quang Ngai,8.5
2010,Quang Ninh,10
2010,Quang Tri,7
2010,Soc Trang,7
2010,Son La,10
2010,Tay Ninh,14
2010,Thai Binh,10
2010,Thai Nguyen,10
2010,Thanh Hoa,15
2010,Tien Giang,8.5
2010,Tra Vinh,10
2010,TT-Hue,10
2010,Tuyen Quang,15
2010,Vinh Long,7
2010,Vinh Phuc,15
2010,Yen Bai,9.25
2011,An Giang,7
2011,Bac Giang,7
2011,Bac Kan,15
2011,Bac Lieu,10
2011,Bac Ninh,15
2011,Ben Tre,10
2011,Binh Dinh,7
2011,Binh Duong,14
2011,Binh Phuoc,10
2011,Binh Thuan,8.5
2011,BRVT,11
2011,Ca Mau,15
2011,Can Tho,7
2011,Cao Bang,15
2011,Da Nang,7
2011,Dak Lak,7
2011,Dak Nong,10
2011,Dien Bien,7
2011,Dong Nai,14
2011,Dong Thap,7
2011,Gia Lai,11
2011,Ha Giang,10
2011,Ha Nam,15
2011,Ha Noi,10
2011,Ha Tinh,7
2011,Hai Duong,7
2011,Hai Phong,10
2011,Hau Giang,7
2011,HCMC,10
2011,Hoa Binh,10
2011,Hung Yen,15
2011,Khanh Hoa,10
2011,Kien Giang,7
2011,Kon Tum,7
2011,Lai Chau,7
2011,Lam Dong,10
2011,Lang Son,7
2011,Lao Cai,7
2011,Long An,7
2011,Nam Dinh,7
2011,Nghe An,7
2011,Ninh Binh,15
2011,Ninh Thuan,7.5
2011,Phu Tho,10
2011,Phu Yen,7
2011,Quang Binh,7.75
2011,Quang Nam,7
2011,Quang Ngai,7
2011,Quang Ninh,10
2011,Quang Tri,7
2011,Soc Trang,7
2011,Son La,15
2011,Tay Ninh,14
2011,Thai Binh,7
2011,Thai Nguyen,10
2011,Thanh Hoa,10
2011,Tien Giang,14.5
2011,Tra Vinh,7
2011,TT-Hue,7
2011,Tuyen Quang,15
2011,Vinh Long,7
2011,Vinh Phuc,8.5
2011,Yen Bai,7
