year,province,noproj,c1
2007,An Giang,0,15
2007,Bac Giang,15,15
2007,Bac Kan,0,15
2007,Bac Lieu,1,22.5
2007,Bac Ninh,35,20
2007,Ben Tre,2,7
2007,Binh Dinh,12,7
2007,Binh Duong,292,15
2007,Binh Phuoc,30,15
2007,Binh Thuan,10,15
2007,BRVT,18,15
2007,Ca Mau,1,15
2007,Can Tho,6,10
2007,Cao Bang,3,10
2007,Da Nang,22,7
2007,Dak Lak,1,15
2007,Dak Nong,0,15
2007,Dien Bien,0,15
2007,Dong Nai,116,14
2007,Dong Thap,4,14
2007,Gia Lai,1,10
2007,Ha Giang,4,10
2007,Ha Nam,13,22.5
2007,Ha Noi,234,20
2007,Ha Tinh,0,12.5
2007,Hai Duong,45,15
2007,Hai Phong,55,14.5
2007,Hau Giang,2,20
2007,HCMC,312,15
2007,Hoa Binh,7,15
2007,Hung Yen,35,15
2007,Khanh Hoa,8,15
2007,Kien Giang,0,15
2007,Kon Tum,0,8.5
2007,Lai Chau,1,15
2007,Lam Dong,13,15
2007,Lang Son,5,15
2007,Lao Cai,6,10
2007,Long An,66,10
2007,Nam Dinh,4,15
2007,Nghe An,2,15
2007,Ninh Binh,6,7
2007,Ninh Thuan,5,15
2007,Phu Tho,1,15
2007,Phu Yen,5,15
2007,Quang Binh,0,15
2007,Quang Nam,16,8.5
2007,Quang Ngai,2,15
2007,Quang Ninh,12,10
2007,Quang Tri,3,7
2007,Soc Trang,2,7
2007,Son La,3,15
2007,Tay Ninh,22,15
2007,Thai Binh,2,15
2007,Thai Nguyen,1,10
2007,Thanh Hoa,6,10
2007,Tien Giang,5,10
2007,Tra Vinh,1,10
2007,TT-Hue,9,8.5
2007,Tuyen Quang,2,7
2007,Vinh Long,1,15
2007,Vinh Phuc,30,15
2007,Yen Bai,2,20
2008,An Giang,1,12
2008,Bac Giang,11,10
2008,Bac Kan,0,15
2008,Bac Lieu,0,7
2008,Bac Ninh,31,15
2008,Ben Tre,2,14.5
2008,Binh Dinh,1,7
2008,Binh Duong,127,12
2008,Binh Phuoc,1,17.5
2008,Binh Thuan,9,15
2008,BRVT,4,14
2008,Ca Mau,1,10
2008,Can Tho,4,9.25
2008,Cao Bang,1,15
2008,Da Nang,17,10
2008,Dak Lak,0,15
2008,Dak Nong,0,15
2008,Dien Bien,0,15
2008,Dong Nai,45,15
2008,Dong Thap,0,10
2008,Gia Lai,0,10
2008,Ha Giang,0,15
2008,Ha Nam,2,14
2008,Ha Noi,218,15
2008,Ha Tinh,1,15
2008,Hai Duong,40,15
2008,Hai Phong,31,15
2008,Hau Giang,0,7
2008,HCMC,418,15
2008,Hoa Binh,6,15
2008,Hung Yen,24,15
2008,Khanh Hoa,2,8.5
